site_id,site_name,ccamlr_region,longitude_EPSG:4326,latitude_EPSG:4326
BELS,Cape Belsham,48.1,-54.883,-61.096
BENN,Cape Bennett,48.2,-45.236,-60.62
BIEN,Cape Bienvenue,58.4.1,140.5252,-66.7203
BRDM,Cape Bird Middle,88.1,166.4187,-77.230393
BRDN,Cape Bird North,88.1,166.44589,-77.214483
BRDS,Cape Bird South,88.1,166.379444,-77.259444
BOWL,Cape Bowles,48.1,-54.091,-61.316
BURD,Cape Burd,48.1,-57.129722,-63.650556
BURK,Cape Burks,88.2,-136.829586,-74.750466
CBEK,"Cape Colbeck, Edward VII Peninsula",88.2,-157.7,-77.14
CONW,Cape Conway,48.1,-61.4224,-62.8415
CCOE,Cape Conway (east),48.1,-61.424,-62.838
CORN,Cape Cornish (NE Buckle),88.1,163.2139,-66.7031
COTT,Cape Cotter,88.1,170.3122,-72.4045
CROZ,Cape Crozier,88.1,169.32,-77.46
DARN,Cape Darnley,58.4.2,69.7,-67.88
CDAV,Cape Davis,88.1,163.5333,-66.65
DENI,Cape Denison,58.4.1,142.6647,-67.0072
EVEN,Cape Evensen (mainland),48.1,-65.683,-66.164
EVER,Cape Evensen (offshore rocks),48.1,-65.720454,-66.157904
GARY,Cape Garry,48.1,-62.258,-63.361
GEDD,Cape Geddes,48.2,-44.59,-60.685
CHAL,Cape Hallett,88.1,170.2142,-72.3179
HANS,"Cape Hansen, Coronation Island",48.2,-45.584,-60.659
CHNE,Cape Herschel (northeast),48.1,-60.986,-64.042
CHSE,Cape Herschel (southeast),48.1,-61.033,-64.078
HINO,Cape Hinode,58.4.2,42.6612,-68.1453
HOOK,Cape Hooker,48.1,-61.963,-63.334
HORS,Cape Hooker Rock (south),48.1,-61.982,-63.345
CHUN,Cape Hunter,58.4.1,142.349,-66.963
JAME,Cape James,48.1,-62.6979,-63.0903
JONE,Cape Jones,88.1,169.2272,-73.2762
JULE,Cape Jules,58.4.1,140.9189,-66.7438
KATE,Cape Kater,48.1,-59.8471,-63.7742
KJEL,Cape Kjellman,48.1,-59.4145,-63.7249
LACH,Cape Lachman (James Ross Island),48.1,-57.784444,-63.782222
LAUR,Cape Laure,48.1,-63.3492,-64.7667
LEGU,Cape Leguillou,48.1,-59.843,-63.5427
CLIN,Cape Lindsey,48.1,-55.48,-61.107
LLOY,Cape Lloyd,48.1,-54.0103,-61.1298
LOOK,Cape Lookout,48.1,-55.205,-61.278
CMEL,Cape Melville,48.1,-57.58,-62.022
MONA,Cape Monaco,48.1,-64.278164,-64.717138
CMUR,Cape Murray,48.1,-61.6206,-64.3663
NUTT,Cape Nutt,58.4.1,108.2127,-66.6352
OMGA,Cape Omega,58.4.2,40.9833,-68.5667
PHIL,Cape Phillips,88.1,169.6168,-73.0714
PIGE,Cape Pigeon Rocks,58.4.1,143.894,-66.9334
CROB,Cape Robertson,48.2,-44.84,-60.714
ROCA,Cape Roca,48.2,-44.8167,-60.75
ROGE,Cape Roget,88.1,170.59,-71.99
ROQU,Cape Roquemaurel,48.1,-58.9652,-63.5486
ROYD,Cape Royds,88.1,166.1639,-77.5545
SHIR,Cape Shirreff,48.1,-60.7874,-62.4575
SMIT,Cape Smith,48.1,-62.3,-62.8738
TUXE,Cape Tuxen,48.1,-64.1178,-65.2667
VALE,Cape Valentine,48.1,-54.651,-61.102
CVIK,Cape Vik,48.2,-45.663,-60.655
WAIT,Cape Waites,88.3,-103.451,-72.713
WALL,Cape Wallace,48.1,-62.209,-63.233
WABL,Cape Wallace Bluff (south),48.1,-62.2664,-63.2816
WASH,Cape Washington,88.1,165.37,-74.64
WHEA,Cape Wheatstone,88.1,170.2024,-72.6217
WHIT,Cape Whitson,48.2,-44.544,-60.748
CARL,Carlota Cove,48.1,-59.709059,-62.373443
CARO,Caroline Bluff,48.1,-57.659,-61.911
CBAY,Casey Bay,58.4.2,48.6565,-67.3774
CAST,Castle Rock,48.1,-61.5814,-62.7886
CASY,Casy Island,48.1,-57.5052,-63.2365
CECI,Cecilia Island,48.1,-59.7285,-62.4128
CHAB,"Chabrier Rock, Vaureal Peak",48.1,-58.2961,-62.1874
CHAP,Chappel Island,58.4.1,110.4193,-66.1772
CHAR,Charcot Island,88.3,-75.4074,-69.7617
CHPT,Charles Point,48.1,-61,-64.236
CHAT,Chatos Island,48.1,-69.152,-67.66
CHEA,Cheal Point,48.2,-45.994,-60.633
CHIC,Chick Islands,58.4.1,120.9934,-66.7918
CHI1,Child Rocks Islands 1,58.4.2,63.2749,-67.4377
CHI2,Child Rocks Islands 2,58.4.2,63.2824,-67.438
CHI3,Child Rocks Islands 3,58.4.2,63.2715,-67.4387
CCMP,Chinstrap Camp,48.1,-54.756,-61.156
CHIN,Chinstrap Cove,48.1,-54.197,-61.245
CHII,Chinstrap Islet,88.1,163.311,-66.925
CHIS,Christine Island,48.1,-64.0236,-64.7946
CHRI,Christoffersen Island,48.2,-45.035,-60.728
CIER,Cierva Point,48.1,-60.96,-64.157
CIPT,Cieslak Point,48.1,-58.655,-62.009
CPTW,Cieslak Point (west),48.1,-58.689,-62.012
CLAR,Clark Island,88.2,-105.193,-74.056
CLPT,Claude Point,48.1,-62.6177,-64.116
COBA,Cobalescou Island,48.1,-61.6499,-64.1795
COCK,Cockburn Island,48.1,-56.8412,-64.2005
COFF,Coffer Island,48.2,-45.138,-60.742
COLB,Colbeck Archipelago Unnamed 1,58.4.2,61.0647,-67.3436
CONC,Conception Point,48.2,-45.709,-60.512
CONE,Cone Island,48.1,-69.1531,-67.6749
CONF,Confusion Island,48.2,-45.636,-60.738
CONI,Conical Island (Aviation Islands),88.1,158.7833,-69.2667
CONT,Continental Rock,58.4.2,59.7964,-67.3997
CORM,Cormorant Island,48.1,-63.9667,-64.7939
CORP,Cormorant Point,48.2,-44.732,-60.756
CRWL,Cornwallis Island,48.1,-54.4641,-61.0724
CORI,Cornwall Island,48.1,-59.709,-62.3426
CIOL,Coronation Island (other localities),48.2,-45.444,-60.665
COUL,Coulman Island,88.1,169.61,-73.35
CMID,Coulman Middle,88.1,169.8854,-73.4372
CNOR,Coulman North,88.1,169.8401,-73.3822
CSOU,Coulman South,88.1,169.8779,-73.5137
CRAB,Crab Beach,48.1,-55.17,-61.246
CRBA,Cresta Run Bay,48.1,-55.359,-61.236
CROW,Crown Head,48.2,-45.326858,-60.624
CHEC,Crown Head (east coast),48.2,-45.259,-60.627
CRUZ,Cruzen Island,88.2,-140.3266,-74.7341
CRYS,Crystal Hill,48.1,-57.745833,-63.649444
CURZ,Curzon Islands,58.4.1,141.5669,-66.767
CUVE,Cuverville Island,48.1,-62.626,-64.684
DANC,Danco Island,48.1,-62.5938,-64.734
DARB,Darbel Island,48.1,-65.9003,-66.3808
DARX,Darboux Island,48.1,-64.215,-65.4028
DARW,Darwin Island,48.1,-54.726,-63.437
DAVE,Davey Point,48.1,-58.5302,-61.9689
DBAY,Davis Bay,88.1,158.49,-69.35
DAVI,Davis Island,58.4.1,108.4444,-66.6637
DAWS,Dawson,48.5,-26.67,-76.02
DECI,Decimal Point,48.1,-54.702,-61.097
DEEI,Dee Island,48.1,-59.7836,-62.4229
DELA,Delaite Island,48.1,-62.1881,-64.5643
DEMS,Demas Rocks,48.1,-58.0333,-63.35
DEMA,Demay Point,48.1,-58.4191,-62.2137
DESC,Descazes Island,48.1,-67.3334,-67.3334
DESO,Desolation Island,48.1,-60.3468,-62.4578
DETA,Detaille Island,48.1,-66.7867,-66.8708
DEVI,Devil Island,48.1,-57.2889,-63.7992
DEPT,Devils Point,48.1,-61.1829,-62.6714
DIBB,Dibble Glacier,58.4.1,134.79,-66.01
DOLL,Dolleman,48.5,-60.43,-70.61
DOME,Dome Island (Aviation Islands),88.1,158.7833,-69.2667
DAMO,Dorian Bay/Damoy Point,48.1,-63.4968,-64.8149
DOBE,Dorian Beacon,48.1,-63.511389,-64.811111
DOU1,Douglas Islands 1,58.4.2,63.3893,-67.3803
DOU2,Douglas Islands 2,58.4.2,63.3895,-67.3849
DOWN,Downshire Cliffs,88.1,170.592,-71.5582
DREA,Dream Island,48.1,-64.2256,-64.7254
DREW,Dream Island West (Casey Islands),48.1,-64.253955,-64.729528
DRES,Drescher,48.6,-19.34,-72.83
DUFF,Duff Point (Greenwich Island),48.1,-60.033333,-62.45
DUKE,Duke of York Island,88.1,170.0635,-71.6235
DUND,Dundee Island,48.1,-55.966,-63.483
DURO,Duroch Islands,48.1,-57.8903,-63.3033
DURV,d'Urville Monument,48.1,-56.2944,-63.4267
DUPT,Duthiers Point,48.1,-62.8179,-64.8049
DUTH,Duthoit Point,48.1,-58.835,-62.307
EADI,Eadie Island,48.1,-55.929,-61.482
EAGL,Eagle Island,48.1,-57.489457,-63.659936
EARL,Earle Island,48.1,-54.7833,-63.4833
EGAR,East 2-3 km of Cape Garry,48.1,-62.2131,-63.3555
ECAP,East Cape,48.2,-45.201,-60.633
EMEI,East of Meier Point,48.2,-45.87,-60.62
ECKE,Eckener Point,48.1,-61.6042,-64.4309
EDEN,Eden Rocks,48.1,-55.7018,-63.4946
EDMO,Edmonson Point,88.1,165.0666,-74.3167
EDWI,Edwards Islands,88.3,-103.0057,-73.8701
EDWA,Edwards Point,48.1,-59.4984,-62.4629
EIP0,Elephant Island (north coast point 0),48.1,-55.145,-61.077
EIP1,Elephant Island (north coast point 1),48.1,-55.113,-61.091
EIP2,Elephant Island (north coast point 2),48.1,-55.087,-61.093
EIP3,Elephant Island (north coast point 3),48.1,-55.074,-61.092
EIP4,Elephant Island (north coast point 4),48.1,-55.067,-61.094
EIP5,Elephant Island (north coast point 5),48.1,-55.057,-61.094
ELPT,Elephant Point,48.1,-60.8573,-62.6924
ELLI,Ellium Island,48.2,-44.871,-60.694
EMER,Emerald Cove,48.1,-57.682158,-61.906208
EMPE,Emperor Island,48.1,-68.71,-67.8647
ENTE,Enterprise Island,48.1,-61.99966,-64.538484
ENTR,Entrance Point,48.1,-60.5533,-62.9981
ENTW,Entrance Point West,48.1,-60.562,-63.008
ETNA,Etna Island,48.1,-55.179,-63.0948
EXTE,Extension Reef,48.1,-66.121944,-65.9675
EYRI,Eyrie Bay,48.1,-57.676667,-63.578333
FALS,False Island Point (Vega Island),48.1,-57.3425,-63.927222
FARI,False Ridge,48.1,-54.052,-61.283
FRPT,False Round Point,48.1,-57.9893,-61.8983
FARE,Farewell Rock,48.1,-61.0183,-63.8678
FERG,Ferguslie Peninsula,48.2,-44.567,-60.693
FERR,Ferrier Peninsula,48.2,-44.425,-60.715
FILD,Fildes Peninsula (northwest side),48.1,-58.97,-62.173
FISH,Fish Islands,48.1,-65.3611,-66.0275
FITC,Fitchie Bay,48.2,-44.494,-60.714
FIZK,Fizkin Island (islet northeast of Fizkin Island),48.1,-65.48,-65.514
FLIE,Fliess Bay,48.1,-55.2412,-63.2045
FLOR,Florence Rock,48.2,-44.622,-60.768
FOLD,Fold Island,58.4.2,59.32,-67.32
FORB,Forbes Glacier,58.4.2,62.2858,-67.5964
FBER,Fortenberry,88.1,167.0789,-70.7662
FORT,Fort Point (Greenwich Island),48.1,-59.58,-62.542
FOYN,Foyn Harbor (Enterprise Island),48.1,-62.009167,-64.554167
FRAM,Fram Islands,58.4.1,139.825,-66.637
FRNC,Francais Rocks,48.1,-56.008571,-63.027691
FRAN,Franklin Island,88.1,168.43,-76.18
FRAE,Franklin Island East,88.1,168.4101,-76.1581
FRAW,Franklin Island West,88.1,168.3383,-76.1618
FRED,Fredriksen Island,48.2,-44.9901,-60.7326
FURS,Fur Seal Point,48.1,-54.043,-61.218
FYRC,Fyr Channel,48.2,-45.673,-60.729
GALE,Galindez Island East,48.1,-64.2399,-65.2476
GALS,Galindez Island South,48.1,-64.246,-65.252
GAMP,Gam Point Area,48.1,-57.9546,-61.9227
GAST,Gaston Islands,48.1,-61.827,-64.4848
GEOR,Georges Point (Ronge Island),48.1,-62.6696,-64.6694
GRIB,Georges Rib,48.1,-54.973,-61.157
GERD,Gerd Island,48.2,-45.7437,-60.6574
GERL,Gerlache Island,48.1,-64.214,-64.601
GNEY,Gibbney Island,58.4.2,62.3205,-67.5543
GIBA,Gibbon Bay,48.2,-45.214,-60.649
GIBB,Gibbs Island,48.1,-55.6385,-61.471
GIBS,Gibson Bay,48.1,-55.842,-63.318
GING,Ginger Island,48.1,-68.6858,-67.7494
GLAN,Glandaz Point,48.1,-63.9591,-65.0911
GOLF,Golfcourse Point,48.1,-55.473,-61.128
GOSL,Gosling Islands,48.2,-45.9178,-60.6406
GOWC,Gosling Islands (west coast),48.2,-45.908,-60.64
GOUL,Gould,48.5,-47.68,-77.71
GOUR,Gourdin Island,48.1,-57.3074,-63.1969
GOPT,Gourlay Point,48.2,-45.5863,-60.7309
GRAP,Graptolite Island,48.2,-44.4621,-60.7159
GREI,Green Island,48.1,-64.1487,-65.3236
GREY,Grey Island,48.2,-45.0149,-60.7487
GRIN,Grinder Rock,48.1,-61.4256,-63.966
GUNN,Gunnerus,58.4.2,34.38,-68.75
HALF,Half Moon Island,48.1,-59.918,-62.596
HALY,Halley,48.5,-27.43,-75.54
HPNE,Hall Peninsula (northeast),48.1,-61.241,-62.769
HPSW,Hall Peninsula (southwest),48.1,-61.244,-62.775
HANN,Hannah Point,48.1,-60.6134,-62.6545
HBAY,Harald Bay,88.1,157.6894,-69.1977
HARM,Harmony Point,48.1,-59.2425,-62.3064
HARE,Harmony Point (east),48.1,-59.229,-62.304
HASW,Haswell Island,58.4.1,93.01,-66.52
HENN,Hennequin Point,48.1,-58.396,-62.124
HENR,Henry Islands,58.4.1,120.6206,-66.8781
HERO,Heroina Island,48.1,-54.6083,-63.3944
HEYW,Heywood Island,48.1,-59.6854,-62.3174
HIDD,Hidden Bay,48.1,-63.780278,-65.048889
HOKU,Hokuro Cove,58.4.2,39.629,-69.213
HOLD,Holdfast Point (mainland and offshore rocks),48.1,-66.5867,-66.7917
MIDG,Hollin/Midgley,58.4.1,110.4036,-66.3259
HOLL,Holl/O'Connor,58.4.1,110.4315,-66.4118
HOPE,Hope Bay,48.1,-56.9978,-63.3972
HORI,Horseshoe Island,48.1,-67.236389,-67.816111
HOVG,Hovgaard Island,48.1,-64.1264,-65.1311
HUMB,Humble Island,48.1,-64.0875,-64.7647
HUMP,Humphries Heights,48.1,-63.8637,-65.0557
HUNT,Hunt Island,48.1,-62.117,-64.333
HURE,Hurd Peninsula (east),48.1,-60.379,-62.695
HURW,Hurd Peninsula (west),48.1,-60.406,-62.674
HUTB,Hut Bluff,48.1,-55.14,-61.219
HYDR,Hydrurga Rocks,48.1,-61.6259,-64.1454
IFOI,Ifo Island Area,58.4.1,139.728,-66.627
INAC,Inaccessible Island,48.2,-46.7333,-60.5667
INEX,Inexpressible Island,88.1,163.7287,-74.9009
INTE,Intercurrence Island,48.1,-61.416,-63.933
SGUE,Island south of Guesalaga Island,48.1,-61.999,-64.282
IOLB,Isles of Litwin Bay,48.1,-58.569,-61.99
LAVO,Islet 1 km west of Lavosier Island,48.1,-66.829,-66.122
LAKT,Islet next to Laktionov Island,48.1,-65.789737,-65.758531
LEPP,Islet south of Le Petit Prince,48.1,-58.021,-61.911
IVAN,Ivanhoff Head,58.4.1,109.1276,-66.8803
JACO,Jacobs Ladder,48.1,-54.737,-61.152
JACP,Jacques Peak,48.1,-61.8342,-64.5152
JADE,Jade Point,48.1,-57.5935,-63.6028
JPTI,Jameson Point Islands,48.1,-62.2622,-63.2944
