site_id,site_name,ccamlr_region,longitude_EPSG:4326,latitude_EPSG:4326
NEKO,Neko Harbor (Andvord Bay),48.1,-62.5327,-64.8383
NELL,Nella/Thalla Islands,88.1,166.0873,-70.6136
NEIS,Nelly Island,58.4.1,110.1782,-66.2294
NEPT,Nelly Point,48.1,-54.775,-61.157
NEWE,Newell Point,48.1,-59.52,-62.3374
NIGG,Nigg Rock,48.2,-44.864,-60.707
NOBL,Noble Rocks,48.1,-63.4335,-64.7849
NOKK,Nokkelholmane Islands,58.4.2,39.4635,-69.3811
NCAP,North Cape (d'Urville Island),48.1,-56.489,-62.974
NESM,Northeast of Smiggers Island,48.1,-65.346483,-65.451571
NORF,Northern Foothills (Terra Nova Bay),88.1,164,-74.75
NFOR,North Foreland,48.1,-57.688,-61.8928
NCOI,North of Cornwall Island,48.1,-59.702,-62.33
NHAM,North of Hammer Point,48.1,-59.624,-62.33
HEYN,North of Heywood Island,48.1,-59.66,-62.312
NMED,North of Medley Rocks,48.1,-55.9771,-62.9969
NTAY,North of Taylor Point,48.1,-57.648,-61.919
NOPT,North Point,48.2,-45.626,-60.672
NVEG,North Vega Island,48.1,-57.226,-63.8053
NWPO,Northwest coast of Pomona Plateau,48.2,-45.96,-60.544
NWSP,Northwest of Spert Island,48.1,-60.9597,-63.8225
NORW,Norway Bight,48.2,-45.816,-60.616
NOVI,Noville Peninsula,88.3,-98.45,-71.77
OBRI,O'Brien Island,48.1,-55.956,-61.507
ODBE,Odbert Island,58.4.1,110.5421,-66.3742
ORCW,Offshore Rocks off Cape Wallace,48.1,-62.228,-63.235
OLDH,Oldham Island,58.4.2,61.7253,-67.5208
OLIC,Oliphant Channel,48.2,-45.592,-60.729
OLII,Oliphant Islands,48.2,-45.594,-60.736
ONEI,O'Neill Point,48.1,-63.090132,-64.81622
ONGU,Ongulkaven,58.4.2,39.4252,-69.0171
ORNE,Orne Islands,48.1,-62.673,-64.662
ORRO,Ornen Rocks,48.1,-57.566,-62.009
OUTE,Outer Island,48.2,-45.5806,-60.7069
OWEN,Owen Island,48.1,-58.3886,-61.9332
PAGE,Pageant Point,48.2,-45.5843,-60.7286
PALA,Palaver Point,48.1,-61.759,-64.1486
PAND,Pandemonium Point,48.2,-45.648,-60.736
PANT,Pantomime Point,48.2,-45.5833,-60.7266
PABE,Paradise Harbor Beacon (Paradise Bay),48.1,-62.9311,-64.9111
